"","FPKM.SRR25626852","FPKM.SRR25626853","FPKM.SRR25626854","FPKM.SRR25626855","FPKM.SRR25626856","FPKM.SRR25626857"
"6PGDH",13.915277,12.290821,11.598549,31.795439,32.075283,31.500628
"ABC1",74.893417,68.240326,73.454239,47.604088,48.871353,53.398422
"ABCA19",13.78546,12.743769,16.11528,17.863159,20.004406,18.822025
"ADC",96.872902,132.739197,121.529434,88.34877,86.316231,73.276855
"AGA1",3.408738,3.74583,4.187164,49.811966,50.26601,46.650562
"AGA2",50.7814052461944,62.819358639637,46.8092782098946,115.928083635831,110.076453004977,113.877760111534
"AGA3",54.6865520531194,50.4495053864528,47.5226737939394,58.2565390762923,59.3992705333333,57.0093347329768
"ANK",314.217312297521,303.605716232676,299.329645001907,229.627119186904,238.987431952956,238.209053939606
"AOS",29.151377,30.631987,25.37973,57.676498,57.646866,60.899372
"AQUAPORIN",47.415615,70.65023,62.505512,28.164064,28.903118,20.059349
"ATMRK1",12.031097,15.316784,13.307243,11.020077,11.546371,11.180037
"BG2",3.810399,5.169387,4.904257,27.131647,28.420126,30.407049
"BI-1",57.245888,65.311409,65.571098,80.442642,80.655083,68.967621
"CAG2",258.085716776065,209.77798887942,204.322630265639,233.812285875793,243.39743400816,314.96218387942
"CAG3",73.9329125115176,67.243439147019,68.7747087384824,78.4178947378049,81.3224020772358,92.5191650602981
"CAGL2",412.396057,379.176025,382.315948,521.559021,529.061096,557.614319
"CAX1",0,0,0,1.724428,1.909,1.748611
"CAX2",57.1902960698925,56.8129985596285,53.6456397057674,58.0452749897361,64.357510913001,58.1372797057673
"CAX3",347.042996131673,337.445038622776,322.337641177936,748.20376297153,774.672169313167,762.803518419929
"CAX4",0.29518,0,0,0,0,0
"CAX5",0.513280507746127,0.30765747826087,0.642290762618691,4.3763108065967,3.67021848325837,3.28582862218891
"CAX6",1.18040055778345,1.48839666788188,1.21522976084579,5.03135744331024,4.9803613977397,3.81671694531535
"CAX8",51.1404088858465,53.6627763740841,58.9913203844967,44.0678944612418,47.326896,42.7528762984959
"CBF3",0,0,0,0,0,0
"CDPK5",13.150672,12.665349,12.336469,27.005489,27.808079,30.793589
"CFL",0.488442,0.356022,0.650456,0.309842,0.260331,0.579914
"CHRC",68.611221,65.224686,63.292747,78.640549,80.180611,81.55085
"CHRD",2.472682,3.939834,3.192513,1.840347,2.588552,1.78137
"CLCA",144.84549,122.118462,127.766457,17.235704,15.696555,20.100962
"CLCG",35.204536,31.585545,32.080601,8.536083,8.394788,9.095096
"CPC-1",1.540268,1.447108,1.336157,4.551651,5.00508,5.226743
"CR9",742.07019,622.167236,727.898438,319.479858,318.81189,347.949005
"CS-ACO1",12.613259,33.777897,11.607318,10.852698,10.236716,11.185488
"CS-ACS1",0,0.162908,0,0.787217,0.767089,0.602732
"CS-ACS2",0.619659,1.08399,2.453619,3.419269,3.045496,2.516404
"CS-AUX1",0.440979106678231,0.286097658282741,0.716752799653079,3.4473194848222,2.72240753686036,3.12333277710321
"CS-ERS",26.9614799137194,24.8464519836766,21.2434475876409,38.3398924566654,38.5351228736883,38.2864056984065
"CS-ETR1",118.222343,112.470322,117.863953,83.449669,83.704872,81.776054
"CS-ETR2",83.3506327665842,73.8819919413366,80.3935983972772,59.7353674888614,59.1539342621287,56.7442441329208
"CS-EXPA1",0,0,0,0,0,0
"CS-EXPA2",0,0,0,0,0,0
"CS-PIN1",0.668492,0.685167,0.59504,1.275814,0.967952127667984,1.05141189130435
"CsCp000",0,0,0,0,0,0
"CsCp001",0,0.22515144740533,0,0,0,0
"CsCp002",0,0,0,0,0,0
"CsCp003",0,0,0,0,0,0
"CsCp004",0,0,0,0,0,0
"CsCp005",0,0,0,0,0,0
"CsCp006",0,0,0,0,0,0
